index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
0,"$6,516,719",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Community Foundation of Greater Memphis Inc,"Memphis, TN United States",Memphis Fourth Estate Inc,"Memphis, TN United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1,"$6,500,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,"General support; Policy, advocacy and systems reform",Cash grants,Robert R Mccormick Foundation,"Chicago, IL United States",UNIVERSITY OF NOTRE DAME DU LAC,"NOTRE DAME, IN United States","For Notre Dame Journalism, Ethics and Democracy Institute and general operating support",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2,"$5,571,747",2019,Global Development|Global Policy and Advocacy,1 year,Stichting European Journalism Centre,"Journalism, news and information; Journalism, news, and information, general",Low-income people,"Policy, advocacy and systems reform; Program support",Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Stichting European Journalism Centre,"Maastricht, Netherlands",to increase the capacity of the journalism community in Europe to report on global health and development issues,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3,"$5,503,450",2019,,1 year,,"Journalism, news and information; Journalism education",Academics,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",The Poynter Institute for Media Studies Inc,"St Petersburg, FL United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
4,"$5,500,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Miami Foundation,"Miami, FL United States","To supplement the Knight Foundation advised fund focusing on communities, journalism, and arts",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
5,"$5,000,000",2019,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,Recordings and broadcasts; Public engagement and education,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",American Journalism Project Inc,"Washington, DC United States",To provide the lead investment in the American Journalism Project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
6,"$4,265,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Institute for Nonprofit News,"Beverly Hills, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
7,"$4,000,000",2019,Media and Communications,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",American Journalism Project Inc,"Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
8,"$3,766,500",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","PRO Publica, Inc.","New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
9,"$3,075,000",2019,,1 year,,"Journalism, news and information; Investigative journalism",Adults; Low-income people; Incarcerated people,"Policy, advocacy and systems reform; Program support",Cash grants,The Kohlberg Foundation Inc,"Armonk, NY United States",WILLIAM J BRENNAN JR CENTER FOR JUSTICE INC,"New York City, NY United States","For Programs in Democracy, Investigative Reporting, Voter Protection, Election Integrity and Criminal Justice Reform.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
10,"$3,000,000",2019,Catholic Sisters,3 years,,"Journalism, news and information; Investigative journalism",Religious groups,Network-building and collaboration; Publications,Cash grants,Conrad N Hilton Foundation,"Westlake Village, CA United States",NATIONAL CATHOLIC REPORTER PUBLISHING COMPANY,"Kansas City, MO United States","to support the worldwide operations of the Global Sisters Report, an international network of reporters, editors and guest authors writing and publishing stories about Catholic sisters online through globalsistersreport.org.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
11,"$2,843,095",2019,Gender Equality|Global Policy and Advocacy,1 year,Nation Media Group,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,Advocacy; Equal access; Program support,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Nation Media Group,"Starehe, Kenya",to help support data driven coverage of gender equality and public health issues in Kenya,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
12,"$2,525,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Swanee Hunt Family Foundation,"Washington, DC United States",Hunt Alternatives,"Washington, DC United States","Inclusive security, demand abolition, political parity, prime movers programs",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
13,"$2,400,000",2019,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Not Specified,Network-building and collaboration; Program creation,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Miami Foundation,"Miami, FL United States",To create the Knight local free press legal network,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
14,"$2,400,000",2019,Creativity and Free Expression,4 years,,"Journalism, news and information; Journalism, news, and information, general",Cross-border families; Ethnic and racial groups; Immigrants; People of Latin American descent,General support,Cash grants,The Ford Foundation,"New York City, NY United States",The Futuro Media Group,"New York City, NY United States","General support to produce and distribute multimedia journalism that explores the diversity of the American experience, with a focus on communities of color and Latinx populations and core support for institutional strengthening measures",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
15,"$2,355,105",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Program support; Public engagement and education,Cash grants,"International Center for Journalists, Inc.","Washington, DC United States",Multiple Europe Recipients,,Regional investigative journalism network,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
16,"$2,314,694",2019,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,Not Specified,Cash grants,NATIONAL CHRISTIAN CHARITABLE FOUNDATION INC,"Alpharetta, GA United States",Global Media Outreach,"Plano, TX United States",Evangelism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
17,"$2,001,825",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,The Pew Charitable Trusts,"Philadelphia, PA United States","PRO Publica, Inc.","New York City, NY United States",DAF grant,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
18,"$2,000,000",2019,,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,Democracy Fund Inc,"Washington, DC United States",American Journalism Project Inc,"Washington, DC United States","This general operating grant to The American Journalism Project will support the organization's mission to make transformative investments in Civic News Organizations, building a new public service media that is governed by, sustained by and looks like the public it serves.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
19,"$2,000,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Leadership and professional development; Program support; Public engagement and education; Publications,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States","To build a future for local news by preparing news leaders and enterprises with the skills, strategies",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
20,"$2,000,000",2019,Research-Evaluation-Learning,2 years and 6 months,"Conducting polling for RWJF on key health and health care issues and linking content to the new thematic areas and health equity, 2019-2021","Journalism, news and information; Journalism, news, and information, general",Researchers,"Outreach; Policy, advocacy and systems reform; Research",Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",President and Fellows of Harvard College,"Cambridge, MA United States",To (1) continue conducting full-scale polls and funding a series of short questions on public opinion of key health issues and (2) leverage partnerships with national media organizations to disseminate findings and inspire dialogue.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
21,"$2,000,000",2019,Printing and Publishing,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","PRO Publica, Inc.","New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
22,"$2,000,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Marcus Foundation,"Atlanta, GA United States",Foundation for American Content and Entertainment,"Farmington Hills, MI United States",General Operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
23,"$2,000,000",2019,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",Not Specified,Conferences and exhibitions; Network-building and collaboration; Online engagement; Program creation; Public engagement and education,Cash grants,The Schmidt Family Foundation,"Palo Alto, CA United States","Grist Magazine, Inc.","Seattle, WA United States",Launching The Fix,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
24,"$1,950,000",2019,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,Program support; Public engagement and education,Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",American Journalism Project Inc,"Washington, DC United States",To support civic news organizations' business development,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
25,"$1,750,000",2019,Higher Education and Scholarship in the Humanities,2 years,"Democracy and the Informed Citizen, Part 2","Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Individual development; Network-building and collaboration,Cash grants,The Andrew W. Mellon Foundation,"New York City, NY United States",Fed of State Humanities Councils,"Arlington, VA United States",To support closer connections and partnerships between the humanities and journalism in fostering an informed citizenry and a democratic society,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
26,"$1,677,650",2019,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Ethics and accountability,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Center for Public Integrity,"Washington, DC United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
27,"$1,650,000",2019,Foundation-wide/,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Adults; Children and youth,Recordings and broadcasts; Public engagement and education,Cash grants,The Wallace Foundation,"New York City, NY United States","National Public Radio, Inc.","Washington, DC United States",To support NPR’S coverage of education issues through a media sponsorship.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
28,"$1,633,583",2019,,1 year,,"Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; Families,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
29,"$1,550,000",2019,Education,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Students,"Policy, advocacy and systems reform",Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Results in Education Foundation,"Rochester, MI United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
30,"$1,500,000",2019,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program creation,Cash grants,Craig Newmark Foundation,"San Francisco, CA United States",The Lenfest Institute for Journalism Special Asset Fund of Tpf,"Philadelphia, PA United States",To develop and support sustainable business models for great local journalism.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
