index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
0,"$7,592,425",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",Academics,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
1,"$7,000,000",2022,,1 year,,"Media Content and Platforms; Print; Mobile media; Journalism, news and information; Investigative journalism; Constituency journalism",Ethnic and racial groups; At-risk youth; Economically disadvantaged people; Victims and oppressed people; Artists and performers; Activists,Not Specified,Cash grants,Foundation for the Greatest Good,"Fulton, MD United States",The Venetoulis Institute for Local Journalism,"Baltimore, MD United States",Journalism,https://apps.irs.gov/pub/epostcard/cor/521907725_202212_990PF_2023112422011496.pdf
2,"$5,000,000",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,Recordings and broadcasts; Public engagement and education,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",American Journalism Project Inc,"Washington, DC United States",Arts & Culture,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3,"$4,650,000",2022,,1 year,Journalism,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Open Society Foundation,"New York City, NY United States","Media Development Investment Fund, Inc.","New York City, NY United States",To provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
4,"$4,511,176",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,National Press Club Journalism Institute,"Washington, DC United States",Fallen Journalists Memorial Foundation,"Naples, FL United States",TRANSFER ACCORDING TO TRANSITION AND SEPARATION AGREEMENT.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
5,"$4,500,000",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Recordings and broadcasts; Public engagement and education,Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",American Journalism Project Inc,"Washington, DC United States","TO PROVIDE THE LEAD INVESTMENT IN THE AMERICAN JOURNALISM PROJECT, (AJP) A FIRST-OF-ITS-KIND VENTURE PHILANTHROPY ORGANIZATION FOCUSED ON GROWING AND SUSTAINING INDEPENDENT, NONPARTISAN, LOCAL CIVIC NEWS ORGANIZATIONS.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
6,"$4,434,311",2022,,1 year,,"Telecommunications infrastructure; Telecommunications; Journalism, news and information; Journalism, news, and information, general",Academics,Data and measurement systems; Program support,Cash grants,Chan Zuckerberg Initiative Foundation,"Palo Alto, CA United States",The Board of Trustees of the Leland Stanford Junior University,"Stanford, CA United States",LATTICE DATA CURATION THAT ENABLES COMMUNITY CONTRIBUTION TO INTEROPERABLE DATA RESOURCES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
7,"$4,379,954",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",Academics,Not Specified,Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
8,"$4,002,450",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Students; Adults,Not Specified,Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",Renew Democracy Initiative Inc,"New York City, NY United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
9,"$4,000,000",2022,Technology and Society,5 years,,"Media access and policy; Media justice; Journalism, news and information; Journalism, news, and information, general",Transgender people; Women and girls; Ethnic and racial groups; People with disabilities; Health; Economically disadvantaged people; Work status and occupations; Activists; Journalism; Legal services; Technology; Retired people,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Upturn Inc,"Washington, DC United States","General support for research and analysis of emerging issues in technology and public policy to address longstanding social inequities, and core support for institutional strengthening.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
10,"$3,947,212",2022,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","PRO Publica, Inc.","New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
11,"$3,850,380",2022,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Northlight Foundation Inc,"New York City, NY United States",Amalgamated Charitable Foundation Inc,"Washington, DC United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
12,"$3,519,000",2022,,1 year,,"Media Content and Platforms; Television; Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Adults; Children and youth; At-risk youth; Economically disadvantaged people,Capital campaigns; Program support,Cash grants,PBS39 Foundation Corporation,"Bethlehem, PA United States",LV PUBLIC TELECOMMUNICATIONS CORP. WLVT-TV CHANNEL 39,"Bethlehem, PA United States",WORKING CAPITAL ASSITANCE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
13,"$3,490,000",2022,Civic Engagement and Government,2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Low-income people; Journalism,General support,Cash grants,The Ford Foundation,"New York City, NY United States","Rockefeller Philanthropy Advisors, Inc.","New York City, NY United States","Core support for the International Fund for Public Interest Media to bridge to a new paradigm of journalism by improving the health of media ecosystems and promoting equality, social justice, and civic participation",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
14,"$3,222,804",2022,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,Not Specified,Cash grants,NATIONAL CHRISTIAN CHARITABLE FOUNDATION INC,"Alpharetta, GA United States",Global Media Outreach,"Plano, TX United States",EVANGELISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
