amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $16,966,810",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,NPR FOUNDATION,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $14,984,737",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,The Pew Charitable Trusts,"Philadelphia, PA United States","PRO Publica, Inc.","New York City, NY United States",DAF GRANT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,560,000",FISCAL YEAR: 2021,"PROGRAM AREA: Natural Resources and Climate Change; Gender, Race and Ethnic Justice; Civic Engagement and Government; Beyond Current Program Structure; Future of Work(ers)",GRANT DURATION: 3 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Women and girls,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States","Rockefeller Philanthropy Advisors, Inc.","New York City, NY United States","Core support for the creation of the International Resource for Impact and Storytelling (IRIS), an external donor collaborative supporting a global-south moving-image storytelling network, narrative analysis and shared learning space for donors",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,354,586",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,965,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Adults,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",PUBINT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000,000",FISCAL YEAR: 2021,PROGRAM AREA: Beyond Current Program Structure,GRANT DURATION: 3 years,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",BOREALIS PHILANTHROPY,"Minneapolis, MN United States","Core support to the Racial Equity in Journalism Fund, a donor collaborative to assist and strengthen people of color-led and -serving media institutions, particularly around civic news coverage and core support for fund strengthening",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,000,000",FISCAL YEAR: 2021,PROGRAM AREA: Equitable Recovery,GRANT DURATION: 3 years,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People of African descent; Researchers; Students; Teachers,SUPPORT STRATEGY: Fellowships; Leadership and professional development; Program support,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",The Howard University,"Washington, DC United States",In support of the Center for Journalism and Democracy.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,000,000",FISCAL YEAR: 2021,PROGRAM AREA: Civic and Community,GRANT DURATION: 5 years and 3 months,,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,The Annenberg Foundation,"Conshohocken, PA United States",National Press Club Journalism Institute,"Washington, DC United States","To support the Fallen Journalists Memorial Foundation in establishing the Fallen Journalists Memorial in Washington, D.C.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,650,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Open Society Foundation,"New York City, NY United States","Media Development Investment Fund, Inc.","New York City, NY United States",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,627,240",FISCAL YEAR: 2021,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: Stichting European Journalism Centre,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Outreach",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Stichting European Journalism Centre,"Maastricht, Netherlands","to support a challenge fund to incentivize solutions journalism approaches in newsrooms in the UK, France and Germany.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,501,622",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Public engagement and education; Policy, advocacy and systems reform; Program support; Research and evaluation",TRANSACTION TYPE: Cash grants,The Conversation US,"Waltham, MA United States",Associated Press,"New York City, NY United States","GLOBAL RELIGION JOUARNALISM INITIATIVE TO EDUCATE THE PUBLIC THROUGH KNOWLEDGE BASED JOURNALISM THAT IS RESPONSIBLE, ETHICAL AND SUPPORTED BY EVIDENCE.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,500,000",FISCAL YEAR: 2021,PROGRAM AREA: Environmental Justice,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Data and measurement systems; Network-building and collaboration; Policy, advocacy and systems reform; Program support; Capacity-building and technical assistance; General support",TRANSACTION TYPE: Cash grants,Bezos Earth Fund,"Seattle, WA United States",Shift,"New York City, NY United States","This project will catalyze a community of practice connecting environmental justice leaders and tech/data talent from across the country to support the Environmental Justice Data Collaborative. The project will involve a series of ‘co-do-athon’ workshops with EJ leaders and tech talent surfacing relevant open data, and together developing six demonstration prototype data tools (code will be open sourced) all working towards advancing the needs of underserved communities who have and/or are experiencing environmental injustices. The teams will also co-develop scrolling infographics/stories that communicate the power of the information visualized.",https://www.bezosearthfund.org/grants/co-developing-methods-prototypes-environmental-justice-data-collaborative
"TOTAL AMOUNT:  $3,390,260",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Adults; Children and youth; At-risk youth; Economically disadvantaged people,SUPPORT STRATEGY: Capital campaigns; Program support,TRANSACTION TYPE: Cash grants,PBS39 Foundation Corporation,"Bethlehem, PA United States",LV PUBLIC TELECOMMUNICATIONS CORP. WLVT-TV CHANNEL 39,"Bethlehem, PA United States",WORKING CAPITAL ASSITANCE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,200,000",FISCAL YEAR: 2021,PROGRAM AREA: Environmental Justice,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Capacity-building and technical assistance; Research and evaluation; General support; Program support",TRANSACTION TYPE: Cash grants,Bezos Earth Fund,"Seattle, WA United States",Georgetown University Mccourt School of Public Policy Massive Data Institute (mdi),"Washington, DC United States",This project will partner with data scientists and technologists at Historically Black Colleges and Universities (HBCUs) and Tribal Colleges and Universities (TCUs) to develop a governance structure and prototype computing infrastructure for an Environmental Justice Data Collaborative that will empower community groups and researchers engaged in data-driven efforts to reduce environmental injustices.,https://www.bezosearthfund.org/grants/engaging-researchers-in-data-driven-efforts-to-reduce-environmental-injustices
"TOTAL AMOUNT:  $3,102,087",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Telecommunications infrastructure; Telecommunications Infrastructure, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",Georgia Public Telecommunications Commission,"Atlanta, GA United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,America First Works Inc,"Washington, DC United States",America First Policy Institute,"Arlington, VA United States",ISSUE SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Sandler Foundation,"San Francisco, CA United States","PRO Publica, Inc.","New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
