amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $11,866,755",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States","National Public Radio, Inc.","Washington, DC United States",PUBINT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $10,000,000",FISCAL YEAR: 2023,PROGRAM AREA: Journalism,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",The Miami Foundation,"Miami, FL United States","To provide up to $10,000,000 towards the administrative costs of Press Forward to ensure that the entire Press Forward initiative maximizes opportunities, especially in its early stages, for positive impact in sustainable local journalism while being efficiently run",https://knightfoundation.org/grants/
"TOTAL AMOUNT:  $7,800,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",American Journalism Project Inc,"Washington, DC United States",To support civic news organizations' business development,https://www.arnoldventures.org/grants-search?years=2023
"TOTAL AMOUNT:  $7,587,651",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Public engagement and education; Policy, advocacy and systems reform; Program support; Research and evaluation",TRANSACTION TYPE: Cash grants,The Conversation US,"Waltham, MA United States",Associated Press Media Editors Association C/o Paula Froke,"New York City, NY United States","GLOBAL RELIGION JOUARNALISM INITIATIVE TO EDUCATE THE PUBLIC THROUGH KNOWLEDGE BASED JOURNALISM THAT IS RESPONSIBLE, ETHICAL AND SUPPORTED BY EVIDENCE.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,250,250",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ex-offenders; Offenders,SUPPORT STRATEGY: General support; Capacity-building and technical assistance,TRANSACTION TYPE: Cash grants,The Chicago Community Trust,"Chicago, IL United States",MARSHALL PROJECT INC,"New York City, NY United States","Unrestricted, General Operating Support, support for implementation of the organization's strategic plan",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,020,410",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Program support; Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants,The Leona M and Harry B Helmsley Charitable Trust,"New York City, NY United States",Engineering Ministries International USA,"Colorado Springs, CO United States",ALASKA WASH PROJECT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,358,000",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",The American Independent Foundation,"Washington, DC United States",CULTURE & ARTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,030,582",FISCAL YEAR: 2023,,GRANT DURATION: 1 year,GRANT TITLE: Unlocking Dynamic and Data-Driven Ocean Governance,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Paul M Angell Family Foundation,"Chicago, IL United States",Global Fishing Watch Inc,"Washington, DC United States","Today, there's no timely way for authorities to check the history â€” and potential illegal activity â€” of vessels in their waters. It can take weeks or months to verify information about a vessel's identity and behavior through official channels, by which time it may have left the region. In lower-income countries, where data and technological capacity is often especially limited, managing this issue is even more difficult. The result is vast swathes of ocean where unscrupulous actors operate in the shadows with relative impunity. At the heart of the problem lies a simple truth: We cannot effectively manage what we cannot see. A lack of data, transparency and accountability leads to poor management. Transparency is about making information, including ocean and vessel data, related policies and decision-making processes, openly available and accessible. Transparency supports better policies and planning, fosters accountability, drives better enforcement, and enables diverse stakeholders to participate in decision-making. Without accurate and open information on vessel activities and on the owners profiting from their operations, States cannot take effective action to eliminate illegal fishing. With an investment from the Paul M. Angell Family Foundation, our international policy work will support key fisheries countries to revolutionize the global fisheries governance framework and its implementation. We will strategically target influential countries in the FAO, OECD, and regional fisheries bodies to gain support for unprecedented new regional and global rules. These rules will ensure the tracking of commercial fishing vessels and reveal their ownership, preventing illicit operations and improving vessel control and defense of waters. We will secure a significant improvement in how they control their vessels, defend their waters and prevent companies at the end of a fishing vessel's ownership chain from operating in secrecy. Our key countries will serve as exemplars, demonstrating vessel tracking and transparent ownership is practically and politically feasible. International and regional policies will underpin national leadership and utilize our global data platform to transform accountability systems, leading to a paradigm shift in how we understand and manage global fisheries.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,000,000",FISCAL YEAR: 2023,PROGRAM AREA: Special Opportunities Fund,GRANT DURATION: 5 years,GRANT TITLE: Miami Foundation,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,CARNEGIE CORPORATION OF NEW YORK,"New York City, NY United States",The Miami Foundation,"Miami, FL United States","For core support of Press Forward, a national journalism initiative aimed at improving local news coverage",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,852,932",FISCAL YEAR: 2023,PROGRAM AREA: Global Policy and Advocacy,GRANT DURATION: 1 year,GRANT TITLE: The Henry J. Kaiser Family Foundation,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Network-building and collaboration; Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",KFF (THE HENRY J KAISER FAMILY FOUNDATION),"San Francisco, CA United States","to support the creation of Healthbeat, a multi-city newsroom in partnership with KFF Health News, powered by on-the-ground reporters who will cover local public health issues within a global context",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
