amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $7,592,425",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Mobile media; Journalism, news and information; Investigative journalism; Constituency journalism",POPULATION SERVED: Ethnic and racial groups; At-risk youth; Economically disadvantaged people; Victims and oppressed people; Artists and performers; Activists,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Foundation for the Greatest Good,"Fulton, MD United States",The Venetoulis Institute for Local Journalism,"Baltimore, MD United States",Journalism,https://apps.irs.gov/pub/epostcard/cor/521907725_202212_990PF_2023112422011496.pdf
"TOTAL AMOUNT:  $5,000,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",American Journalism Project Inc,"Washington, DC United States",Arts & Culture,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,650,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,GRANT TITLE: Journalism,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Open Society Foundation,"New York City, NY United States","Media Development Investment Fund, Inc.","New York City, NY United States",To provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,511,176",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,National Press Club Journalism Institute,"Washington, DC United States",Fallen Journalists Memorial Foundation,"Naples, FL United States",TRANSFER ACCORDING TO TRANSITION AND SEPARATION AGREEMENT.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,500,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education,TRANSACTION TYPE: Cash grants,"John S. and James L. Knight Foundation, Inc.","Miami, FL United States",American Journalism Project Inc,"Washington, DC United States","TO PROVIDE THE LEAD INVESTMENT IN THE AMERICAN JOURNALISM PROJECT, (AJP) A FIRST-OF-ITS-KIND VENTURE PHILANTHROPY ORGANIZATION FOCUSED ON GROWING AND SUSTAINING INDEPENDENT, NONPARTISAN, LOCAL CIVIC NEWS ORGANIZATIONS.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,434,311",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Telecommunications infrastructure; Telecommunications; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Data and measurement systems; Program support,TRANSACTION TYPE: Cash grants,Chan Zuckerberg Initiative Foundation,"Palo Alto, CA United States",The Board of Trustees of the Leland Stanford Junior University,"Stanford, CA United States",LATTICE DATA CURATION THAT ENABLES COMMUNITY CONTRIBUTION TO INTEROPERABLE DATA RESOURCES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,379,954",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",University of Southern California - Annenberg School for Communication and Journalism,"Los Angeles, CA United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,002,450",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Students; Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",Renew Democracy Initiative Inc,"New York City, NY United States",EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $4,000,000",FISCAL YEAR: 2022,PROGRAM AREA: Technology and Society,GRANT DURATION: 5 years,,"SUBJECT:Media access and policy; Media justice; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Transgender people; Women and girls; Ethnic and racial groups; People with disabilities; Health; Economically disadvantaged people; Work status and occupations; Activists; Journalism; Legal services; Technology; Retired people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",Upturn Inc,"Washington, DC United States","General support for research and analysis of emerging issues in technology and public policy to address longstanding social inequities, and core support for institutional strengthening.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,947,212",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States","PRO Publica, Inc.","New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,850,380",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Northlight Foundation Inc,"New York City, NY United States",Amalgamated Charitable Foundation Inc,"Washington, DC United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,519,000",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Adults; Children and youth; At-risk youth; Economically disadvantaged people,SUPPORT STRATEGY: Capital campaigns; Program support,TRANSACTION TYPE: Cash grants,PBS39 Foundation Corporation,"Bethlehem, PA United States",LV PUBLIC TELECOMMUNICATIONS CORP. WLVT-TV CHANNEL 39,"Bethlehem, PA United States",WORKING CAPITAL ASSITANCE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,490,000",FISCAL YEAR: 2022,PROGRAM AREA: Civic Engagement and Government,GRANT DURATION: 2 years,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people; Journalism,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States","Rockefeller Philanthropy Advisors, Inc.","New York City, NY United States","Core support for the International Fund for Public Interest Media to bridge to a new paradigm of journalism by improving the health of media ecosystems and promoting equality, social justice, and civic participation",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,222,804",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,NATIONAL CHRISTIAN CHARITABLE FOUNDATION INC,"Alpharetta, GA United States",Global Media Outreach,"Plano, TX United States",EVANGELISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,218,977",FISCAL YEAR: 2022,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Telecommunications infrastructure; Telecommunications Infrastructure, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",Georgia Public Telecommunications Commission,"Atlanta, GA United States",TVCSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,030,979",FISCAL YEAR: 2022,,GRANT DURATION: 3 years,"GRANT TITLE: Supporting the Data Across Sectors for Health's national program office -- Michigan Public Health Institute, 2022-2025","SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Data and measurement systems; Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Michigan Public Health Institute,"Okemos, MI United States",To support Data Across Sectors for Health in lifting up models and to support governance and capabilities that promote sustainable community decision-making and leadership in data-sharing ecosystems at community and state levels.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2022,PROGRAM AREA: Journalism and Media,GRANT DURATION: 3 years,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",Field Foundation of Illinois,"Chicago, IL United States",in support of the Media and Storytelling program.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2022,PROGRAM AREA: Enriching Community Life,GRANT DURATION: 3 years,GRANT TITLE: Indiana Local News Initiative,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Recordings and broadcasts; Program support,TRANSACTION TYPE: Cash grants,Nina Mason Pulliam Charitable Trust,"Indianapolis, IN United States",American Journalism Project Inc,"Washington, DC United States",Support to build a new model for local news in Central Indiana that utilizes a community reporting model and acts as a trusted source of information resulting in a more informed and engaged public.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $3,000,000",FISCAL YEAR: 2022,,GRANT DURATION: 3 years,GRANT TITLE: Journalism,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Open Society Foundation,"New York City, NY United States",International Consortium for Investigative Journalists Inc,"Washington, DC United States",To provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
